"locID","year","scientificName","avg_bud_burst_DOY","avg_bud_burst_date"
"loc4",2022,"Quercus robur L.",110.978378378378,2022-04-20
"loc4",2023,"Quercus robur L.",121.2625,2023-05-01
"loc5",2009,"Quercus rubra L.",100,2009-04-10
"loc5",2010,"Quercus rubra L.",100.5,2010-04-10
"loc5",2011,"Quercus rubra L.",98.75,2011-04-08
"loc5",2012,"Quercus rubra L.",99.4583333333334,2012-04-08
"loc5",2013,"Quercus rubra L.",115.666666666667,2013-04-25
"loc5",2014,"Quercus rubra L.",90.9791666666667,2014-03-31
"loc5",2015,"Quercus rubra L.",105.375,2015-04-15
"loc5",2016,"Quercus rubra L.",105.25,2016-04-14
"loc5",2017,"Quercus rubra L.",95.4583333333333,2017-04-05
"loc5",2018,"Quercus rubra L.",104.25,2018-04-14
"loc5",2019,"Quercus rubra L.",99.25,2019-04-09
"loc5",2020,"Quercus rubra L.",101.4375,2020-04-10
"loc5",2021,"Quercus rubra L.",116.5,2021-04-26
"loc5",2022,"Quercus rubra L.",102,2022-04-12
"loc5",2023,"Quercus rubra L.",115.5,2023-04-25
"loc6",2009,"Quercus robur L.",112.2,2009-04-22
"loc6",2010,"Quercus robur L.",123.116666666667,2010-05-03
"loc6",2011,"Quercus robur L.",112.306666666667,2011-04-22
"loc6",2012,"Quercus robur L.",123,2012-05-02
"loc6",2013,"Quercus robur L.",131.866666666667,2013-05-11
"loc6",2014,"Quercus robur L.",110.6,2014-04-20
"loc6",2015,"Quercus robur L.",132.362962962963,2015-05-12
"loc6",2016,"Quercus robur L.",127.12972972973,2016-05-06
"loc6",2017,"Quercus robur L.",132.947916666667,2017-05-12
"loc6",2018,"Quercus robur L.",111.850704225352,2018-04-21
"loc6",2019,"Quercus robur L.",114.0625,2019-04-24
"loc6",2020,"Quercus robur L.",115.354166666667,2020-04-24
"loc6",2021,"Quercus robur L.",136.125,2021-05-16
"loc6",2022,"Quercus robur L.",121.714285714286,2022-05-01
"loc6",2023,"Quercus robur L.",129.333333333333,2023-05-09
"loc6",2009,"Larix kaempferi (Lamb.) Carrière",97.1428571428571,2009-04-07
"loc6",2010,"Larix kaempferi (Lamb.) Carrière",95.1428571428571,2010-04-05
"loc3",2009,"Betula pendula Roth",98.1929824561403,2009-04-08
"loc3",2010,"Betula pendula Roth",96.6666666666667,2010-04-06
"loc4",2009,"Betula pendula Roth",98.4615384615385,2009-04-08
"loc4",2010,"Betula pendula Roth",97.5089285714286,2010-04-07
"loc4",2009,"Pinus sylvestris L.",125.3,2009-05-05
"loc4",2010,"Pinus sylvestris L.",135.75,2010-05-15
"loc1",1989,"Quercus rubra L.",103.551851851852,1989-04-13
"loc1",1991,"Quercus rubra L.",104.4,1991-04-14
"loc1",2010,"Quercus rubra L.",102.833333333333,2010-04-12
"loc1",2011,"Quercus rubra L.",98.4722222222222,2011-04-08
"loc1",2012,"Quercus rubra L.",102.740740740741,2012-04-11
"loc1",2013,"Quercus rubra L.",115.814814814815,2013-04-25
"loc1",2014,"Quercus rubra L.",93.6111111111111,2014-04-03
"loc1",2015,"Quercus rubra L.",109.255555555556,2015-04-19
"loc1",2016,"Quercus rubra L.",106,2016-04-15
"loc1",2017,"Quercus rubra L.",98.9308176100629,2017-04-08
"loc1",2018,"Quercus rubra L.",104.457547169811,2018-04-14
"loc1",2019,"Quercus rubra L.",100.602564102564,2019-04-10
"loc1",2020,"Quercus rubra L.",100.685185185185,2020-04-09
"loc1",2021,"Quercus rubra L.",118.774074074074,2021-04-28
"loc1",2022,"Quercus rubra L.",103,2022-04-13
"loc1",2023,"Quercus rubra L.",112.62962962963,2023-04-22
"loc4",1988,"Quercus robur L.",122.800505050505,1988-05-01
"loc4",1989,"Quercus robur L.",113.47619047619,1989-04-23
"loc4",1990,"Quercus robur L.",118.82636968766,1990-04-28
"loc4",1991,"Quercus robur L.",129.342708333333,1991-05-09
"loc4",1992,"Quercus robur L.",129.855913978495,1992-05-08
"loc4",1993,"Quercus robur L.",114.39,1993-04-24
"loc4",1994,"Quercus robur L.",120.926451612903,1994-04-30
"loc4",1995,"Quercus robur L.",119.500641025641,1995-04-29
"loc4",1996,"Quercus robur L.",126.777479892761,1996-05-05
"loc4",1997,"Quercus robur L.",126.759375,1997-05-06
"loc4",1998,"Quercus robur L.",119.54623655914,1998-04-29
"loc4",1999,"Quercus robur L.",114.691789215686,1999-04-24
"loc4",2000,"Quercus robur L.",119.04347826087,2000-04-28
"loc4",2001,"Quercus robur L.",126.523501199041,2001-05-06
"loc4",2002,"Quercus robur L.",116.932142857143,2002-04-26
"loc4",2003,"Quercus robur L.",115.287755102041,2003-04-25
"loc4",2004,"Quercus robur L.",115.59503875969,2004-04-24
"loc4",2005,"Quercus robur L.",115.454258675079,2005-04-25
"loc4",2006,"Quercus robur L.",121.344642857143,2006-05-01
"loc4",2007,"Quercus robur L.",105.181587301587,2007-04-15
